THOR:	 Q: 0 ;	1.24958 ;	1.84235 ;	0 ;	-0.992653 ;	-1.565 ;	|Torque: 2.92489e-05 ;	 4.60888 ;	 -0.336445 ;	 -1.04164e-06 ;	 -0.565422 ;	 -1.69874 ;	 |MotorD: 180 ;	 0 ;|t 0.0194992 ;	 251.596 ;	 -3.83383e-07 ;|t 2304.44 ;	 195.559 ;	 0 ;|t -168.223 ;	 180 ;	 0 ;|t -0.00102878 ;	 102.373 ;	 0 ;|t -734.33 ;	 -11.3767 ;	 0 ;|t -1153.16 ;	 1
LOKI:	 Q: 0.0869445 ;	1.13485 ;	1.86787 ;	0 ;	-0.921528 ;	-8.8772e-08 ;	|Torque: 0.086978 ;	 4.60811 ;	 -0.0984583 ;	 -1.12369e-06 ;	 0.93911 ;	 -0.626073 ;	 |MotorD: 184.982 ;	 0 ;|t 57.9853 ;	 245.022 ;	 -9.84708e-08 ;|t 2304.06 ;	 197.021 ;	 0 ;|t -49.2292 ;	 180 ;	 0 ;|t -0.00110982 ;	 232.8 ;	 0 ;|t -695.637 ;	 127.2 ;	 0 ;|t -7.3463e-05 ;	 1
ODIN:	 Q: 0.0869448 ;	1.13485 ;	1.86787 ;	0 ;	-0.921528 ;	-8.8772e-08 ;	|Torque: 0.0869176 ;	 4.60811 ;	 -0.0984586 ;	 1.03957e-06 ;	 0.93911 ;	 -0.626073 ;	 |MotorD: 184.982 ;	 0 ;|t 57.9451 ;	 245.022 ;	 -7.30885e-08 ;|t 2304.06 ;	 197.021 ;	 0 ;|t -49.2293 ;	 180 ;	 0 ;|t 0.00102673 ;	 232.8 ;	 0 ;|t -695.637 ;	 127.2 ;	 0 ;|t -7.46725e-05 ;	 1
FRIGG:	 Q: 0.0869448 ;	1.13485 ;	1.86787 ;	0 ;	-0.921528 ;	-8.8772e-08 ;	|Torque: 0.0869116 ;	 4.60811 ;	 -0.0984906 ;	 1.2658e-06 ;	 0.939094 ;	 -0.626063 ;	 |MotorD: 184.982 ;	 0 ;|t 57.9411 ;	 245.022 ;	 1.25156e-08 ;|t 2304.06 ;	 197.021 ;	 0 ;|t -49.2453 ;	 180 ;	 0 ;|t 0.00125018 ;	 232.8 ;	 0 ;|t -695.625 ;	 127.2 ;	 0 ;|t -7.36529e-05 ;	 1
THOR:	 Q: 0 ;	1.24958 ;	1.84235 ;	0 ;	-0.992653 ;	-1.565 ;	|Torque: 2.92489e-05 ;	 4.60888 ;	 -0.336445 ;	 -1.04164e-06 ;	 -0.565422 ;	 -1.69874 ;	 |MotorD: 180 ;	 0 ;|t 0.0194992 ;	 251.596 ;	 -3.83383e-07 ;|t 2304.44 ;	 195.559 ;	 0 ;|t -168.223 ;	 180 ;	 0 ;|t -0.00102878 ;	 102.373 ;	 0 ;|t -734.33 ;	 -11.3767 ;	 0 ;|t -1153.16 ;	 10
LOKI:	 Q: 0.0869445 ;	1.13485 ;	1.86787 ;	0 ;	-0.921528 ;	-8.8772e-08 ;	|Torque: 0.086978 ;	 4.60811 ;	 -0.0984583 ;	 -1.12369e-06 ;	 0.93911 ;	 -0.626073 ;	 |MotorD: 184.982 ;	 0 ;|t 57.9853 ;	 245.022 ;	 -9.84708e-08 ;|t 2304.06 ;	 197.021 ;	 0 ;|t -49.2292 ;	 180 ;	 0 ;|t -0.00110982 ;	 232.8 ;	 0 ;|t -695.637 ;	 127.2 ;	 0 ;|t -7.3463e-05 ;	 10
ODIN:	 Q: 0.0869448 ;	1.13485 ;	1.86787 ;	0 ;	-0.921528 ;	-8.8772e-08 ;	|Torque: 0.0869176 ;	 4.60811 ;	 -0.0984586 ;	 1.03957e-06 ;	 0.93911 ;	 -0.626073 ;	 |MotorD: 184.982 ;	 0 ;|t 57.9451 ;	 245.022 ;	 -7.30885e-08 ;|t 2304.06 ;	 197.021 ;	 0 ;|t -49.2293 ;	 180 ;	 0 ;|t 0.00102673 ;	 232.8 ;	 0 ;|t -695.637 ;	 127.2 ;	 0 ;|t -7.46725e-05 ;	 10
FRIGG:	 Q: 0.0869448 ;	1.13485 ;	1.86787 ;	0 ;	-0.921528 ;	-8.8772e-08 ;	|Torque: 0.0869116 ;	 4.60811 ;	 -0.0984906 ;	 1.2658e-06 ;	 0.939094 ;	 -0.626063 ;	 |MotorD: 184.982 ;	 0 ;|t 57.9411 ;	 245.022 ;	 1.25156e-08 ;|t 2304.06 ;	 197.021 ;	 0 ;|t -49.2453 ;	 180 ;	 0 ;|t 0.00125018 ;	 232.8 ;	 0 ;|t -695.625 ;	 127.2 ;	 0 ;|t -7.36529e-05 ;	 10
THOR:	 Q: 0 ;	1.24958 ;	1.84235 ;	0 ;	-0.992653 ;	-1.565 ;	|Torque: 2.92072e-05 ;	 4.60885 ;	 -0.336446 ;	 -1.04678e-06 ;	 -0.565406 ;	 -1.69875 ;	 |MotorD: 180 ;	 0 ;|t 0.0194715 ;	 251.596 ;	 -4.35788e-08 ;|t 2304.43 ;	 195.559 ;	 0 ;|t -168.223 ;	 180 ;	 0 ;|t -0.00103386 ;	 102.373 ;	 0 ;|t -734.342 ;	 -11.3767 ;	 0 ;|t -1153.16 ;	 54
LOKI:	 Q: 0.0869445 ;	1.13485 ;	1.86787 ;	0 ;	-0.921528 ;	-8.8772e-08 ;	|Torque: 0.08698 ;	 4.60811 ;	 -0.098458 ;	 -1.12426e-06 ;	 0.93911 ;	 -0.626073 ;	 |MotorD: 184.982 ;	 0 ;|t 57.9867 ;	 245.022 ;	 -2.10845e-07 ;|t 2304.06 ;	 197.021 ;	 0 ;|t -49.229 ;	 180 ;	 0 ;|t -0.00111038 ;	 232.8 ;	 0 ;|t -695.637 ;	 127.2 ;	 0 ;|t -7.35403e-05 ;	 54
ODIN:	 Q: 0.0869448 ;	1.13485 ;	1.86787 ;	0 ;	-0.921528 ;	-8.8772e-08 ;	|Torque: 0.0869156 ;	 4.60811 ;	 -0.0984582 ;	 1.0408e-06 ;	 0.939094 ;	 -0.626063 ;	 |MotorD: 184.982 ;	 0 ;|t 57.9437 ;	 245.022 ;	 -3.22347e-07 ;|t 2304.06 ;	 197.021 ;	 0 ;|t -49.2291 ;	 180 ;	 0 ;|t 0.00102795 ;	 232.8 ;	 0 ;|t -695.625 ;	 127.2 ;	 0 ;|t -7.5805e-05 ;	 54
