X	Q1	Q2	Q3	X	Q1	Q2	Q3
0	0	0.172205	0.34211	0	0	2.24105	3.08325
0.005	0	0.157792	0.315581	0.005	0	2.32548	3.10978
0.01	0	0.142201	0.286876	0.01	0	2.43015	3.13849
0.015	0	0.124523	0.254324	0.015	0	2.5683	3.17104
0.02	0	0.101972	0.212794	0.02	0	2.7776	3.21257
0.025	---	---	---	0.025	---	---	---
0.03	---	---	---	0.03	---	---	---
0.035	---	---	---	0.035	---	---	---
0.04	---	---	---	0.04	---	---	---
0.045	---	---	---	0.045	---	---	---
0.05	---	---	---	0.05	---	---	---
0.055	---	---	---	0.055	---	---	---
0.06	---	---	---	0.06	---	---	---
0.065	---	---	---	0.065	---	---	---
0.07	---	---	---	0.07	---	---	---
0.075	---	---	---	0.075	---	---	---
0.08	---	---	---	0.08	---	---	---
0.085	---	---	---	0.085	---	---	---
0.09	---	---	---	0.09	---	---	---
0.095	---	---	---	0.095	---	---	---
0.1	---	---	---	0.1	---	---	---
0.105	---	---	---	0.105	---	---	---
0.11	---	---	---	0.11	---	---	---
0.115	0	0.0960342	0.201858	0.115	0	2.83875	3.2235
0.12	0	0.12057	0.247045	0.12	0	2.60227	3.17832
0.125	0	0.138877	0.280756	0.125	0	2.45446	3.14461
0.13	0	0.154787	0.310049	0.13	0	2.34451	3.11531
0.135	0	0.169393	0.336934	0.135	0	2.25669	3.08843
0.14	0	0.183177	0.362303	0.14	0	2.18359	3.06306
0.145	0	0.196402	0.386636	0.145	0	2.12101	3.03872
0.15	0	0.209224	0.410223	0.15	0	2.06631	3.01514
0.155	0	0.221747	0.433254	0.155	0	2.01772	2.99211
0.16	0	0.234041	0.455859	0.16	0	1.97399	2.9695
0.165	0	0.246159	0.478132	0.165	0	1.93419	2.94723
0.17	0	0.258137	0.500142	0.17	0	1.89764	2.92522
0.175	0	0.270006	0.521945	0.175	0	1.8638	2.90342
0.18	0	0.281789	0.543581	0.18	0	1.83226	2.88178
0.185	0	0.293503	0.565085	0.185	0	1.80266	2.86028
0.19	0	0.305165	0.586484	0.19	0	1.77475	2.83888
0.195	0	0.316786	0.6078	0.195	0	1.74829	2.81756
0.2	0	0.328378	0.629054	0.2	0	1.72311	2.79631
0.205	0	0.339949	0.65026	0.205	0	1.69904	2.7751
0.21	0	0.351508	0.671434	0.21	0	1.67596	2.75393
0.215	0	0.363062	0.692588	0.215	0	1.65375	2.73277
0.22	0	0.374616	0.713733	0.22	0	1.63231	2.71163
0.225	0	0.386177	0.734879	0.225	0	1.61156	2.69048
0.23	0	0.39775	0.756035	0.23	0	1.59143	2.66933
0.235	0	0.409339	0.777208	0.235	0	1.57186	2.64815
0.24	0	0.420948	0.798407	0.24	0	1.55279	2.62695
0.245	0	0.432584	0.819639	0.245	0	1.53417	2.60572
0.25	0	0.444248	0.84091	0.25	0	1.51595	2.58445
0.255	0	0.455945	0.862226	0.255	0	1.4981	2.56314
0.26	0	0.467679	0.883594	0.26	0	1.48058	2.54177
0.265	0	0.479453	0.90502	0.265	0	1.46337	2.52034
0.27	0	0.491271	0.926509	0.27	0	1.44642	2.49885
0.275	0	0.503137	0.948066	0.275	0	1.42972	2.47729
0.28	0	0.515053	0.969698	0.28	0	1.41325	2.45566
0.285	0	0.527024	0.99141	0.285	0	1.39697	2.43395
0.29	0	0.539052	1.01321	0.29	0	1.38088	2.41215
0.295	0	0.551142	1.03509	0.295	0	1.36495	2.39027
0.3	0	0.563298	1.05708	0.3	0	1.34917	2.36828
0.305	0	0.575521	1.07916	0.305	0	1.33351	2.3462
0.31	0	0.587818	1.10135	0.31	0	1.31797	2.32401
0.315	0	0.600191	1.12366	0.315	0	1.30254	2.3017
0.32	0	0.612644	1.14608	0.32	0	1.28719	2.27928
0.325	0	0.625182	1.16863	0.325	0	1.27192	2.25673
0.33	0	0.637808	1.19131	0.33	0	1.25671	2.23405
0.335	0	0.650528	1.21412	0.335	0	1.24156	2.21124
0.34	0	0.663346	1.23708	0.34	0	1.22645	2.18828
0.345	0	0.676266	1.26019	0.345	0	1.21137	2.16517
0.35	0	0.689294	1.28346	0.35	0	1.19632	2.1419
0.355	0	0.702436	1.30689	0.355	0	1.18128	2.11847
0.36	0	0.715696	1.33049	0.36	0	1.16625	2.09487
0.365	0	0.72908	1.35427	0.365	0	1.15121	2.07109
0.37	0	0.742596	1.37825	0.37	0	1.13615	2.04712
0.375	0	0.756249	1.40241	0.375	0	1.12108	2.02295
0.38	0	0.770046	1.42679	0.38	0	1.10597	1.99857
0.385	0	0.783996	1.45138	0.385	0	1.09082	1.97398
0.39	0	0.798106	1.4762	0.39	0	1.07562	1.94916
0.395	0	0.812384	1.50125	0.395	0	1.06036	1.92411
0.4	0	0.826841	1.52656	0.4	0	1.04503	1.8988
0.405	0	0.841485	1.55212	0.405	0	1.02962	1.87324
0.41	0	0.856327	1.57796	0.41	0	1.01413	1.8474
0.415	0	0.871379	1.60409	0.415	0	0.998537	1.82127
0.42	0	0.886653	1.63052	0.42	0	0.982837	1.79484
0.425	0	0.902162	1.65727	0.425	0	0.967017	1.76809
0.43	0	0.917922	1.68436	0.43	0	0.951066	1.741
0.435	0	0.933949	1.71181	0.435	0	0.934973	1.71356
0.44	0	0.918723	1.68574	0.44	0	0.918723	1.68574
0.445	0	0.902304	1.65752	0.445	0	0.902304	1.65752
0.45	0	0.885701	1.62888	0.45	0	0.885701	1.62888
0.455	0	0.868899	1.59979	0.455	0	0.868899	1.59979
0.46	0	0.85188	1.57023	0.46	0	0.85188	1.57023
0.465	0	0.834625	1.54016	0.465	0	0.834625	1.54016
0.47	0	0.817115	1.50954	0.47	0	0.817115	1.50954
0.475	0	0.799328	1.47835	0.475	0	0.799328	1.47835
0.48	0	0.78124	1.44653	0.48	0	0.78124	1.44653
0.485	0	0.762822	1.41403	0.485	0	0.762822	1.41403
0.49	0	0.744045	1.38081	0.49	0	0.744045	1.38081
0.495	0	0.724875	1.34681	0.495	0	0.724875	1.34681
0.5	0	0.705272	1.31194	0.5	0	0.705272	1.31194
0.505	0	0.685193	1.27614	0.505	0	0.685193	1.27614
0.51	0	0.664586	1.2393	0.51	0	0.664586	1.2393
0.515	0	0.643392	1.20133	0.515	0	0.643392	1.20133
0.52	0	0.62154	1.16208	0.52	0	0.62154	1.16208
0.525	0	0.598946	1.12142	0.525	0	0.598946	1.12142
0.53	0	0.575508	1.07914	0.53	0	0.575508	1.07914
0.535	0	0.551102	1.03502	0.535	0	0.551102	1.03502
0.54	0	0.52557	0.988774	0.54	0	0.52557	0.988774
0.545	0	0.498711	0.940028	0.545	0	0.498711	0.940028
0.55	0	0.470258	0.888289	0.55	0	0.470258	0.888289
0.555	0	0.439846	0.832885	0.555	0	0.439846	0.832885
0.56	0	0.406952	0.772849	0.56	0	0.406952	0.772849
0.565	0	0.370774	0.706703	0.565	0	0.370774	0.706703
0.57	0	0.329974	0.631978	0.57	0	0.329974	0.631978
0.575	0	0.281971	0.543916	0.575	0	0.281971	0.543916
0.58	0	0.220278	0.430553	0.58	0	0.220278	0.430553
0.585	0	0.102963	0.214618	0.585	0	0.102963	0.214618
0.59	---	---	---	0.59	---	---	---
0.595	---	---	---	0.595	---	---	---
0.6	---	---	---	0.6	---	---	---
